feature,空值率%,inf率%,非空率%,importance,iv
营业利润_加速,14.5,0.0,85.5,2,0.0205102042934203
FCF_加速,14.5,0.0,85.5,25,0.0217040255906179
净利润_fcf_T1,14.5,0.0,85.5,5,0.0175513762977748
营业利润_T1,14.5,0.0,85.5,9,0.0143988749660274
营收_T1,14.5,0.0,85.5,24,0.0258294745861016
折旧_T2,14.5,0.0,85.5,7,0.0182640995884502
资本支出_T2,14.5,0.0,85.5,12,0.0090522525785452
资本支出_T1,14.5,0.0,85.5,9,0.0093477411928405
折旧_T1,14.5,0.0,85.5,5,0.0168001436479908
营收_T,14.5,0.0,85.5,32,0.0095060387334805
营业利润_T,14.5,0.0,85.5,5,0.0237905193066317
FCF_T,14.5,0.0,85.5,14,0.0234994194898551
FCF年份_T,14.5,0.0,85.5,3,0.0806575005171228
资本支出_T,14.5,0.0,85.5,6,0.0111699368202847
FCF_T1,14.5,0.0,85.5,27,0.0265703673863839
净利润_fcf_T,14.5,0.0,85.5,10,0.0369877301393609
NOPAT_T,14.5,0.0,85.5,1,0.0237905193066317
FCF_3年斜率,14.5,0.0,85.5,9,0.0326350942317646
净利润_fcf_YoY,14.5,0.0,85.5,10,0.0271991654521582
FCF_YoY,14.5,0.0,85.5,35,0.0067316191108858
营收_CAGR2,14.5,0.0,85.5,14,0.0563374675897699
NOPAT_YoY,14.5,0.0,85.5,11,0.0263880232516963
NOPAT_加速,14.5,0.0,85.5,14,0.0191194508228649
营业利润_YoY,14.5,0.0,85.5,1,0.0243435620769758
净利润_fcf_加速,14.5,0.0,85.5,3,0.0049823845093259
capex_intensity,14.5,0.0,85.5,30,0.0416119305642311
营收_3年斜率,14.5,0.0,85.5,9,0.0395115179623906
NOPAT_3年斜率,14.5,0.0,85.5,5,0.0391326234317533
FCF_conversion,14.5,0.0,85.5,45,0.0079704091901273
FCF_margin,14.5,0.0,85.5,5,0.0266318105497437
NOPAT_margin,14.5,0.0,85.5,17,0.0231136220431917
盈利能力_斜率,10.0,0.0,90.0,20,0.0261909228184102
总分_斜率,10.0,0.0,90.0,7,0.0247155037834218
成长能力_斜率,10.0,0.0,90.0,23,0.0113036054724787
区间收益_250d,9.7,0.0,90.3,5,0.0214196406872125
年化收益_250d,9.7,0.0,90.3,30,0.0214196406872125
波动率_250d,9.7,0.0,90.3,59,0.011740102297833
vol_ratio_60_250,9.7,0.0,90.3,65,0.0073130991268365
盈利能力_delta_4y,9.3,0.0,90.7,26,0.0108746001118805
成长能力_delta_4y,9.3,0.0,90.7,15,0.0091593058498565
price_vs_MA250,9.3,0.0,90.7,51,0.0351834265939422
MA250,9.3,0.0,90.7,33,0.0312116046619061
胜率_250d,9.3,0.0,90.7,14,0.0241242427334841
总分_delta_4y,9.3,0.0,90.7,14,0.0146824860626276
盈利能力_delta_2y,8.6,0.0,91.4,9,0.0347449031510142
成长能力_delta_2y,8.6,0.0,91.4,32,0.0411654279013456
总分_delta_2y,8.6,0.0,91.4,22,0.0236260853149565
盈利能力_delta_1y,8.5,0.0,91.5,58,0.080316758699478
总分_delta_1y,8.5,0.0,91.5,44,0.0645704363538414
成长能力_T-4,8.5,0.0,91.5,20,0.0174976912577046
成长能力_delta_1y,8.5,0.0,91.5,20,0.0544300203702762
总分_T-4,8.5,0.0,91.5,40,0.0185676904490795
盈利能力_T-4,8.5,0.0,91.5,14,0.0235719504829326
盈利能力_T,8.5,0.0,91.5,31,0.0018353049511056
成长能力_T,8.5,0.0,91.5,14,0.0080027695878546
总分_T,8.5,0.0,91.5,43,0.0032043597744311
总分_T-1,8.3,0.0,91.7,19,0.04459579788266
成长能力_T-1,8.3,0.0,91.7,27,0.041751600454187
盈利能力_T-1,8.3,0.0,91.7,35,0.0463001377329807
成长能力_T-3,8.2,0.0,91.8,10,0.0074532130345212
盈利能力_T-3,8.2,0.0,91.8,18,0.0113750279011605
总分_T-3,8.2,0.0,91.8,33,0.0196414069243983
盈利能力_T-2,8.0,0.0,92.0,6,0.0072977883078308
总分_T-2,8.0,0.0,92.0,20,0.0176818120664488
成长能力_T-2,8.0,0.0,92.0,20,0.0644927418714159
PE_vs_同行均值,2.0,0.0,98.0,21,0.0127745172077274
PE_vs_同行中位,2.0,0.0,98.0,21,0.0098596968678163
同行PE_中位,1.6,0.0,98.4,49,0.0301921113816982
同行PE_标准差,1.6,0.0,98.4,13,0.0136411353196676
同行PE_均值,1.6,0.0,98.4,38,0.0191287290223236
PS_vs_同行均值,1.5,0.0,98.5,6,0.0081106961727393
PB_vs_同行中位,1.5,0.0,98.5,21,0.0659494166928185
PE_vs_行业,1.5,0.0,98.5,21,0.0030202269973112
PB_vs_同行均值,1.5,0.0,98.5,42,0.0738442434943587
个股PE,1.5,0.0,98.5,17,0.0104360418111724
