feature,iv,coverage,n_bins,skip,lgb_rank,combined_rank
margin_rzye_chg_20d,0.0036971737721835365,1.0,2,False,999,352
营业利润_T2,0.0034066604461719203,1.0,4,False,999,353
NOPAT_T2,0.0034066604461719203,1.0,4,False,999,354
盈利能力_delta_4y,0.0033982309943290296,1.0,4,False,999,355
成长能力_delta_1y,0.0033192313761672906,1.0,5,False,999,356
margin_rqjme_20d,0.00317372352032092,1.0,2,False,999,357
ret_kurt_20,0.0029526865283611018,1.0,5,False,999,358
beta_mkt_60,0.002851757639500571,1.0,5,False,999,359
smc_liq_sweep_W,0.0028344347909324127,1.0,2,False,999,360
smc_liq_sweep_M,0.0028277031504796686,1.0,2,False,999,361
mfi_14,0.00278307374504153,1.0,5,False,999,362
抵抗_corr_div_stock,0.0026472422523009104,1.0,4,False,999,363
sue_beat,0.0026457903482317822,1.0,2,False,999,364
行业idx_rsi_bfq_24,0.0026174355185146726,1.0,5,False,999,365
margin_rzrq_balance,0.002252416696935223,1.0,2,False,999,366
行业idx_maemv_bfq,0.002096747318321564,1.0,5,False,999,367
RSI_6,0.0019262005886931605,1.0,5,False,999,368
pledge_ratio,0.001757665535296071,1.0,4,False,999,369
sue_pos_streak,0.0017283533162095934,1.0,3,False,999,370
smc_bos_M,0.001423829708281464,1.0,2,False,999,371
溢价率上限,0.0014065105067436387,1.0,2,False,999,372
市场胜率_120d,0.0013266630933365228,1.0,2,False,999,373
抵抗_score,0.0011975952001523488,1.0,2,False,999,374
insider_buy_count_90d,0.0011137628172252034,1.0,3,False,999,375
净利润_fcf_T2,0.001009418583817357,1.0,4,False,999,376
BOLL_pctB,0.0009158448046279436,1.0,5,False,999,377
BOLL_W_pctB,0.0009140551698437521,1.0,5,False,999,378
smc_liq_sweep,0.0008606790162496529,1.0,2,False,999,379
nb_hold_ratio,0.0007203183458111576,1.0,2,False,999,380
surv_count_90d,0.0005194561955345373,1.0,2,False,999,381
macro_shibor_3m,0.000321848597787954,1.0,2,False,999,382
折价率,0.00023505275251961533,1.0,2,False,999,383
smc_bos,0.00011572749946425954,1.0,2,False,999,384
smc_bos_W,0.00011572749946425954,1.0,2,False,999,385
surv_recency,9.059268969715391e-05,1.0,2,False,999,386
margin_rzye_trend_60d,3.3095901866930936e-05,1.0,2,False,999,387
chip_concentration,6.903960101636741e-07,1.0,2,False,999,388
chip_winner_rate,6.903960101636741e-07,1.0,2,False,999,389
定增_询价发行,0.0,1.0,0,False,999,390
三浪_score,0.0,1.0,1,False,999,391
定增锁定期天数,0.0,1.0,1,False,999,392
定增大股东参与,0.0,1.0,0,False,999,393
pledge_danger_zone,0.0,1.0,1,False,999,394
smc_ote_W,0.0,1.0,1,False,999,395
macro_hsgt_net_20d,0.0,1.0,0,False,999,396
broker_rec_broker_count,0.0,1.0,1,False,999,397
macro_hsgt_net_5d,0.0,1.0,0,False,999,398
insider_direction,0.0,1.0,0,False,999,399
smc_ote,0.0,1.0,1,False,999,400
smc_ote_M,0.0,1.0,1,False,999,401
smc_ob_retest_M,0.0,1.0,1,False,999,402
broker_rec_count,0.0,1.0,1,False,999,403
block_discount_avg,0.0,1.0,0,False,999,404
smc_ob_retest,0.0,1.0,1,False,999,405
smc_ob_retest_W,0.0,1.0,1,False,999,406
