rank,feature,importance,importance_pct,cum_pct,IV,IV_label,corr,coverage,is_derived
41,vol_ratio_60_250,27,0.7198080511863503,48.25379898693681,0.007762846506879174,极弱,-0.005094182362469916,94.90291262135922,🆕
42,PE_vs_行业,27,0.7198080511863503,48.973607038123156,0.01614035743190658,极弱,-0.028995828605503475,98.62459546925567,🆕
43,行业年化收益_120d,27,0.7198080511863503,49.693415089309504,0.03210781894425241,弱,0.05360537128029291,99.02912621359224,
44,营收_YoY,27,0.7198080511863503,50.41322314049585,0.05077386352367938,弱,0.0338475328018287,85.43689320388349,🆕
45,数据天数,27,0.7198080511863503,51.1330311916822,0.07600148758484448,弱,-0.05151537898639703,99.67637540453075,
46,年化收益_20d,26,0.6931484937350041,51.8261796854172,0.05602554831991188,弱,0.0231993213391348,99.67637540453075,
47,return_acceleration,26,0.6931484937350041,52.519328179152204,0.00991673578699153,极弱,-0.025881196628818395,99.67637540453075,🆕
48,同行市值_中位,25,0.6664889362836577,53.18581711543586,0.05806450608883246,弱,0.04593040804238915,98.54368932038835,
49,PE_vs_同行均值,25,0.6664889362836577,53.852306051719516,0.03799489796572584,弱,-0.03623140914213162,97.89644012944983,🆕
50,NOPAT_CAGR2,24,0.6398293788323114,54.492135430551826,0.07672109328041375,弱,-0.08581329935127135,71.03559870550163,🆕
51,同行PS_均值,24,0.6398293788323114,55.13196480938414,0.049030047104073965,弱,0.005682881724365808,98.54368932038835,
52,成长能力_T-2,24,0.6398293788323114,55.77179418821645,0.037117072136334056,弱,-0.06759483666636759,96.35922330097088,
53,年化收益_120d,24,0.6398293788323114,56.41162356704876,0.07075471139874563,弱,-0.07594747757861536,99.67637540453075,
54,PB_vs_同行均值,24,0.6398293788323114,57.05145294588107,0.12091570766465107,中等,-0.04618969708450078,98.38187702265373,🆕
55,行业PB,23,0.6131698213809651,57.66462276726203,0.1033287782037318,中等,-0.05576909129140814,99.02912621359224,
56,成长能力_T-1,23,0.6131698213809651,58.277792588642995,0.034776703301176035,弱,-0.06996634926798481,96.35922330097088,
57,盈利能力_T-3,23,0.6131698213809651,58.89096241002396,0.020674140678554203,弱,0.04371066363380238,96.35922330097088,
58,营收_3年斜率,23,0.6131698213809651,59.504132231404924,0.05795678793836541,弱,0.03345839984291743,85.51779935275081,
59,FCF_加速,23,0.6131698213809651,60.11730205278589,0.06399377659940635,弱,-0.024061817302684373,85.51779935275081,🆕
60,总分_T-2,23,0.6131698213809651,60.73047187416685,0.026724359185883804,弱,-0.03531195939228154,96.35922330097088,
61,盈利能力_delta_2y,22,0.5865102639296188,61.31698213809647,0.023349831900656495,弱,0.05221102147772584,96.35922330097088,🆕
62,年化收益_250d,22,0.5865102639296188,61.90349240202609,0.04031385252816886,弱,-0.07606868324278719,94.90291262135922,
63,price_vs_MA60,22,0.5865102639296188,62.49000266595571,0.030302671701138362,弱,-0.07769318829930374,99.67637540453075,🆕
64,FCF_T2,22,0.5865102639296188,63.076512929885325,0.053587931762644224,弱,0.006926831764986622,85.51779935275081,
65,同行PE_标准差,22,0.5865102639296188,63.663023193814944,0.04772994718183477,弱,-0.01707914280699115,98.2200647249191,
66,营收_加速,22,0.5865102639296188,64.24953345774456,0.04314045609197213,弱,0.0032043549424165957,85.43689320388349,🆕
67,同行PE_均值,22,0.5865102639296188,64.83604372167419,0.015741773167569775,极弱,-0.01922756363647788,98.2200647249191,
68,行业波动率_20d,22,0.5865102639296188,65.42255398560381,0.040377935591026676,弱,0.0210793025912461,99.02912621359224,
69,报价日价格_excel,21,0.5598507064782724,65.98240469208208,0.17528109600399613,中等,-0.1022057620064169,99.51456310679612,
70,行业PB_120d增长,21,0.5598507064782724,66.54225539856036,0.07190523765636062,弱,-0.07864751477132761,31.22977346278317,🆕
71,波动率,21,0.5598507064782724,67.10210610503863,0.05826526837474854,弱,-0.07844516537984221,99.67637540453075,
72,行业年化收益_250d,21,0.5598507064782724,67.6619568115169,0.04864369511671038,弱,0.070176405774384,99.02912621359224,
73,营收_CAGR2,20,0.5331911490269262,68.19514796054382,0.062421977023717004,弱,0.003293172807564755,85.51779935275081,🆕
74,PS_vs_同行均值,20,0.5331911490269262,68.72833910957074,0.05322970691515864,弱,-0.033508777598276536,98.54368932038835,🆕
75,资本支出_YoY,20,0.5331911490269262,69.26153025859766,0.04888887739939788,弱,0.028122762132547066,85.43689320388349,🆕
76,总分_T-1,20,0.5331911490269262,69.79472140762458,0.02119551566228489,弱,-0.06790043191362513,96.35922330097088,
77,胜率_120d,19,0.5065315915755798,70.30125299920016,0.03281976719768745,弱,-0.003500164289865871,99.67637540453075,
78,资本支出_T3,19,0.5065315915755798,70.80778459077574,0.046487016697445836,弱,-0.034332902862188944,85.43689320388349,
79,成长能力_T-4,18,0.4798720341242335,71.28765662489997,0.026609200991932626,弱,0.05479571796341083,96.27831715210357,
80,行业波动率_120d,18,0.4798720341242335,71.7675286590242,0.041439284457443805,弱,0.07184147047467382,99.02912621359224,
81,净利润_fcf_T4,18,0.4798720341242335,72.24740069314842,0.055824704316961515,弱,0.009917633055121219,85.19417475728154,
82,行业MA250,18,0.4798720341242335,72.72727272727265,0.027177490681104387,弱,-0.04475281044500107,99.02912621359224,
83,成长能力_delta_4y,17,0.4532124766728872,73.18048520394554,0.010984753971036907,极弱,-0.00559197974915103,96.27831715210357,🆕
84,行业胜率_250d,17,0.4532124766728872,73.63369768061843,0.01773656628425957,极弱,0.03240808903001441,99.02912621359224,
85,净利润_fcf_T1,17,0.4532124766728872,74.08691015729131,0.029516801432430947,弱,0.019699779656455765,85.51779935275081,
86,盈利能力_T-1,17,0.4532124766728872,74.5401226339642,0.026634300827114002,弱,-0.054278760319597545,96.35922330097088,
87,行业PB_250d增长,17,0.4532124766728872,74.99333511063709,0.03013295793873902,弱,-0.08566797006156798,25.64724919093851,🆕
88,FCF_margin,17,0.4532124766728872,75.44654758730998,0.033185761035965725,弱,-0.04573184783565733,85.51779935275081,🆕
89,年化收益_60d,17,0.4532124766728872,75.89976006398287,0.030924836598487642,弱,-0.06352988635751125,99.67637540453075,
90,PB_vs_行业,17,0.4532124766728872,76.35297254065576,0.08867200005509845,弱,-0.06229578456484553,98.86731391585761,🆕
91,漂移率,17,0.4532124766728872,76.80618501732864,0.03575551290963324,弱,-0.05883220885810636,99.67637540453075,
92,资本支出_CAGR2,16,0.4265529192215409,77.23273793655018,0.015292582252944728,极弱,0.030395445226141852,85.35598705501619,🆕
