feature,iv,coverage,n_bins,skip,lgb_importance,iv_rank,lgb_rank,combined_rank
营收_T3,0.016568971202462687,1.0,5,False,7,157,169,163.0
波动率_120d,0.005951586388490222,1.0,5,False,13,204,128,166.0
行业胜率_250d,0.00714895776592833,1.0,5,False,12,200,137,168.5
PS_vs_同行均值,0.008110696172739372,1.0,5,False,11,193,146,169.5
行业区间收益_120d,0.01956055197260472,1.0,5,False,2,138,202,170.0
成长能力_T-3,0.00745321303452127,1.0,5,False,11,197,146,171.5
行业PE_120d增长,0.012781257090313223,1.0,4,False,6,172,177,174.5
波动率,0.01604543749785156,1.0,5,False,4,160,190,175.0
折旧_T1,0.016800143647990845,1.0,5,False,3,155,196,175.5
营收_T4,0.01262019703171858,1.0,5,False,5,174,184,179.0
盈利能力_T-2,0.007297788307830828,1.0,5,False,9,199,159,179.0
营业利润_T1,0.014398874966027472,1.0,5,False,3,167,196,181.5
资本支出_T,0.011169936820284778,1.0,5,False,5,179,184,181.5
同行PS_均值,0.006800281554095874,1.0,5,False,7,202,169,185.5
折旧_T3,0.008182288394392145,1.0,5,False,5,192,184,188.0
NOPAT_T1,0.014398874966027472,1.0,5,False,0,166,212,189.0
溢价率上限,0.007101048103259885,1.0,4,False,3,201,196,198.5
净利润_fcf_加速,0.004982384509325956,1.0,5,False,3,206,196,201.0
FCF_CAGR2,0.0016215231704398414,1.0,4,False,2,213,202,207.5
